Date,Open,High,Low,Close,Adj Close,Volume
1998-12-09,80.335800,81.232079,80.007172,80.993073,48.869881,4895908
1998-12-10,80.933319,81.261948,78.274376,78.871895,47.589993,7713832
1998-12-11,78.393883,80.515060,78.035370,80.305923,48.455288,7305473
1998-12-14,79.588913,79.827919,77.796364,77.856117,46.977081,7894580
1998-12-15,78.154877,79.260277,77.676865,78.871895,47.589993,8129094
1998-12-16,79.768166,79.768166,78.543259,78.573135,47.409710,5912829
1998-12-17,79.081024,81.082695,78.901772,79.379784,47.896439,9166307
1998-12-18,79.648659,82.307602,79.648659,82.008842,49.482780,10268373
1998-12-21,82.008842,85.534180,82.008842,84.309273,50.870789,7822616
1998-12-22,84.847038,87.476097,83.771507,87.117592,52.565308,9105012
1998-12-23,87.326721,88.611374,86.579826,88.432121,53.358471,7395220
1998-12-24,88.312622,89.836281,87.983986,89.836281,54.205700,3190091
1998-12-28,89.149139,90.792305,88.910133,90.463669,54.584278,5511583
1998-12-29,90.164917,90.314293,89.388145,89.447899,53.971359,3935261
1998-12-30,89.328392,90.164917,89.059509,89.268639,53.863205,5034607
1998-12-31,89.268639,89.477776,87.715103,88.133362,53.178185,4042581
1999-01-04,88.432121,89.149139,86.759079,87.476097,52.781612,8524482
1999-01-05,87.476097,90.762428,87.386475,90.642921,54.692417,10363350
1999-01-06,90.971558,92.136711,90.105164,90.224663,54.440052,9978422
1999-01-07,89.836281,91.957458,89.388145,90.911804,54.854664,8688913
1999-01-08,91.300194,91.778206,88.730881,89.657028,54.097553,9598933
1999-01-11,90.344170,90.553299,89.388145,90.463669,54.584278,7595634
1999-01-12,90.822182,90.822182,87.954109,88.461998,53.376469,7074726
1999-01-13,87.476097,89.597275,85.803062,88.671127,53.502682,10361048
1999-01-14,87.774857,88.402245,85.504303,86.340820,52.096622,9414000
1999-01-15,87.117592,88.671127,86.639580,88.402245,53.340443,7101922
1999-01-19,89.746651,92.017204,88.671127,91.897705,55.449558,8784936
1999-01-20,93.212234,95.243790,92.076958,92.973228,56.098492,13215792
1999-01-21,94.467018,94.765778,91.808075,94.168259,56.819580,21343212
1999-01-22,87.954109,88.671127,84.906792,85.922562,51.844257,39836910
1999-01-25,87.117592,87.296844,82.934990,86.998085,52.493214,24450668
1999-01-26,87.834610,89.149139,86.938339,88.730881,53.538738,19975462
1999-01-27,89.298515,89.298515,84.996414,85.235420,51.429634,18653527
1999-01-28,85.803062,86.669456,84.876915,85.414673,51.537811,12490495
1999-01-29,85.414673,87.924232,85.325050,87.595604,52.853729,10581127
1999-02-01,88.193115,88.193115,85.803062,85.922562,51.844257,7747931
1999-02-02,85.832932,86.370697,83.652008,84.488525,50.978985,12266651
1999-02-03,84.070267,84.608032,82.725861,83.771507,50.546352,11711644
1999-02-04,83.741638,84.369026,80.903442,81.052818,48.905945,12149499
1999-02-05,81.471077,81.739960,78.662766,79.349907,47.878422,17737650
1999-02-08,79.827919,80.724190,77.975624,79.827919,48.230755,12537984
1999-02-09,79.827919,81.022942,77.318359,77.796364,47.003319,11308515
1999-02-10,77.676865,80.724190,77.676865,80.724190,48.772263,11352656
1999-02-11,81.381454,85.474426,80.365677,85.325050,51.552044,13142781
1999-02-12,84.249519,84.249519,81.829590,82.576485,49.891407,12202845
1999-02-16,83.652008,85.205544,82.188095,82.456978,49.819195,9434711
1999-02-17,81.500954,83.323372,80.694313,81.500954,49.241573,9389942
1999-02-18,82.217972,83.413002,81.351578,83.293503,50.324608,9087439
1999-02-19,83.353249,83.532501,81.739960,82.038719,49.566486,7733287
1999-02-22,82.337479,85.056168,81.769836,85.056168,51.389587,9623409
1999-02-23,85.086044,86.042068,84.010513,84.578156,51.100773,9528223
1999-02-24,84.727531,85.892685,82.755737,83.054497,50.180199,9034720
1999-02-25,82.217972,83.144119,80.933319,82.994743,50.144108,10951202
1999-02-26,81.739960,82.158218,79.588913,81.142448,49.024975,15478708
1999-03-01,81.022942,81.022942,78.931641,80.485184,48.627880,10031977
1999-03-02,81.500954,81.710083,79.768166,80.186424,48.447384,9145806
1999-03-03,80.544930,80.754066,78.901772,79.708412,48.158550,8099178
1999-03-04,82.934990,84.608032,81.321701,81.739960,49.385967,22490046
1999-03-05,83.114243,85.534180,83.054497,85.265297,51.515930,12140085
1999-03-08,85.384796,86.042068,84.637909,85.504303,51.660355,7907551
1999-03-09,85.982315,88.372368,85.354927,87.087715,52.617016,10479874
1999-03-10,86.818832,87.416351,86.161568,86.759079,52.418461,7332251
1999-03-11,87.177345,88.880257,86.759079,87.416351,52.815559,8986395
1999-03-12,87.326721,87.685226,85.086044,85.086044,51.407635,10128627
1999-03-15,85.653679,87.147469,84.667786,86.998085,52.562851,8266329
1999-03-16,86.998085,87.715103,86.131691,86.520073,52.274071,6909876
1999-03-17,85.803062,86.042068,85.086044,85.115921,51.425671,7233508
1999-03-18,84.847038,84.966537,82.666107,84.906792,51.299351,15172230
1999-03-19,84.428780,85.086044,80.305923,80.574806,48.682022,20393653
1999-03-22,80.634560,81.500954,79.648659,79.827919,48.230755,12443844
1999-03-23,79.827919,80.126671,78.393883,79.051147,47.761436,10475690
1999-03-24,80.305923,81.500954,79.588913,81.022942,48.952778,12364766
1999-03-25,82.217972,82.815491,81.022942,81.889343,49.476242,10280925
1999-03-26,81.769836,84.070267,81.530830,82.397224,49.783096,8646654
1999-03-29,83.652008,85.444550,83.353249,85.026291,51.371548,8470717
1999-03-30,84.608032,86.639580,84.548279,85.354927,51.570103,7810273
1999-03-31,86.042068,86.759079,84.369026,84.727531,51.191017,6103619
1999-04-01,84.757408,84.936661,83.502632,84.608032,51.118832,5555097
1999-04-05,85.564056,87.924232,85.354927,87.924232,53.122425,9663366
1999-04-06,87.535851,89.268639,87.087715,87.476097,52.851669,9144969
1999-04-07,87.954109,89.686905,85.593925,89.149139,53.862473,12198452
1999-04-08,88.910133,89.896034,87.147469,89.388145,54.006908,8923426
1999-04-09,88.730881,89.896034,87.954109,89.059509,53.808346,6392943
1999-04-12,87.715103,87.774857,86.549950,87.685226,52.978008,9392871
1999-04-13,87.954109,87.954109,86.012192,86.042068,51.985233,7161334
1999-04-14,87.356598,87.894356,84.906792,85.743309,51.804752,7595006
1999-04-15,85.803062,85.803062,82.934990,84.966537,51.335449,8713598
1999-04-16,84.847038,84.847038,81.321701,81.441208,49.205482,12477525
1999-04-19,81.680206,82.367355,78.423759,79.708412,48.158550,16091246
1999-04-20,79.827919,81.142448,77.915871,81.142448,49.024975,15392936
1999-04-21,81.142448,82.158218,78.931641,82.158218,49.638672,13767034
1999-04-22,94.287766,95.004784,92.106834,92.973228,56.172947,40971611
1999-04-23,92.435471,98.739243,92.226341,95.482796,57.689167,21705546
1999-04-26,97.872849,100.740921,96.707695,100.322655,60.613358,19524636
1999-04-27,101.338432,102.891968,99.665390,101.338432,61.227036,21891943
1999-04-28,100.023903,100.621414,97.275337,97.992355,59.205410,11863523
1999-04-29,97.992355,99.904396,97.245461,97.902725,59.151283,11798043
1999-04-30,99.665390,100.860420,97.245461,99.994026,60.414795,9446426
1999-05-03,99.426384,101.457932,98.619743,101.457932,61.299263,9447681
1999-05-04,101.457932,103.190727,101.039673,101.338432,61.227036,11644490
1999-05-05,101.398186,101.577438,99.097755,101.398186,61.263187,8862130
1999-05-06,101.278679,102.294456,99.426384,100.023903,60.501328,8723222
1999-05-07,100.979927,103.967499,100.890297,103.847992,62.814384,10446193
1999-05-10,103.847992,106.058792,103.758362,104.505257,63.211926,9987626
1999-05-11,105.401527,106.058792,103.967499,105.640533,63.898617,8757949
1999-05-12,105.700287,109.195747,103.011475,107.791588,65.199722,12621873
1999-05-13,111.854683,117.590820,111.854683,117.590820,71.126976,25450644
1999-05-14,115.439774,116.395790,112.810707,114.364243,69.175316,18905195
1999-05-17,112.810707,114.543503,110.898659,113.527725,68.669342,12092178
1999-05-18,113.886230,115.021507,113.288719,114.005737,68.958466,9030955
1999-05-19,113.886230,114.125237,111.406548,112.750954,68.199455,8150014
1999-05-20,112.631454,112.989960,111.137665,111.316925,67.332100,6738123
1999-05-21,111.257172,111.555923,109.554253,110.121895,66.609283,7217191
1999-05-24,110.092018,110.271271,105.999046,106.955070,64.693764,8993717
1999-05-25,106.357552,108.030594,105.640533,105.730164,63.952866,9837630
1999-05-26,106.596558,113.109467,105.849663,112.930206,68.307907,17392888
1999-05-27,111.555923,111.735184,107.672081,110.898659,67.079094,11037915
1999-05-28,110.898659,111.615677,109.165871,110.898659,67.079094,6672957
1999-06-01,108.628105,108.867111,106.297798,107.074570,64.766022,7487791
1999-06-02,106.835564,109.584129,104.624763,108.747612,65.777992,7327230
1999-06-03,109.524376,110.241394,106.656311,107.970840,65.308159,5347780
1999-06-04,108.628105,110.898659,107.492828,110.898659,67.079094,5500705
1999-06-07,112.930206,116.336044,112.332695,115.200768,69.681320,6970439
1999-06-08,114.603249,114.603249,110.958412,111.496178,67.440529,7735588
1999-06-09,111.496178,115.559273,111.436424,111.854683,67.657387,5825802
1999-06-10,110.779160,111.615677,108.329353,110.181641,66.645409,5074669
1999-06-11,110.002388,111.376671,107.612335,109.285370,66.103287,4492779
1999-06-14,110.779160,110.898659,108.986618,110.420647,66.789978,5121948
1999-06-15,112.332695,113.109467,109.703636,110.779160,67.006828,5109605
1999-06-16,114.603249,116.156792,113.647224,115.380020,69.789749,7283403
1999-06-17,114.005737,116.634796,113.766731,114.902008,69.500580,4890991
1999-06-18,114.902008,116.097038,114.483749,115.439774,69.825874,9580942
1999-06-21,117.471321,120.219887,117.232315,119.263863,72.138939,6763750
